Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;GOLD: R: RT: Marktmacht, Monopolisierung;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: RT: Marktmacht, Monopolisierung;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Ungleichheit bei Sozialabgaben / Steuergerechtigkeit;AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: RT: Marktmacht, Monopolisierung;Average difference per article
HOR_20160415965951E8CD;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2176;0.0063;0.0001;0.0036;0.0001;0.0;0.0;0.0004;0.0001;0.1241;0.0003;0.0005;0.0;0.0;0.0;0.0009;0.0014;0.0006;0.0019;0.0002;0.7824;0.9937;0.0001;0.0036;0.0001;0.0;0.0;0.0004;0.0001;0.1241;0.0003;0.0005;0.0;0.0;0.0;0.0009;0.0014;0.0006;0.0019;0.0002;0.0955
MEDIANET_20160520329B003D38;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.9727;0.3199;0.0076;0.0357;0.0838;0.0114;0.0004;0.2622;0.0297;0.5432;0.0065;0.025;0.0067;0.0024;0.0065;0.0009;0.0023;0.018;0.0078;0.002;0.0273;0.3199;0.0076;0.0357;0.0838;0.0114;0.0004;0.2622;0.0297;0.5432;0.0065;0.975;0.0067;0.0024;0.0065;0.0009;0.0023;0.018;0.0078;0.002;0.1175
PRESSE_201708250400130056;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9939;0.0001;0.0001;0.0013;0.0018;0.0003;0.0;0.0166;0.0022;0.1534;0.0001;0.0133;0.0007;0.0001;0.0016;0.0002;0.0019;0.0384;0.264;0.0001;0.0061;0.0001;0.0001;0.0013;0.0018;0.0003;0.0;0.0166;0.0022;0.8466;0.0001;0.0133;0.0007;0.0001;0.0016;0.0002;0.0019;0.0384;0.264;0.0001;0.0598
TT_20180429EA1BDEB143;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.9975;0.1125;0.0078;0.0518;0.6521;0.0428;0.019;0.2035;0.0687;0.4973;0.1056;0.1714;0.0052;0.0015;0.0483;0.0003;0.0113;0.2025;0.5359;0.0133;0.0025;0.8875;0.0078;0.0518;0.6521;0.0428;0.019;0.7965;0.0687;0.4973;0.1056;0.1714;0.0052;0.0015;0.0483;0.0003;0.0113;0.2025;0.5359;0.0133;0.2061
STANDARD_20180505194503285970092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1411;0.0104;0.0961;0.0006;0.0009;0.0009;0.003;0.0419;0.0016;0.0312;0.0042;0.0839;0.0104;0.0114;0.0413;0.0102;0.0807;0.0052;0.4645;0.0088;0.1411;0.0104;0.0961;0.0006;0.0009;0.0009;0.003;0.0419;0.0016;0.0312;0.0042;0.0839;0.0104;0.0114;0.0413;0.0102;0.0807;0.0052;0.4645;0.0088;0.0524
STANDARD_20160507194005312160081;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9991;0.1316;0.0236;0.1292;0.0188;0.0057;0.0002;0.0047;0.0347;0.8893;0.0024;0.2979;0.0002;0.0015;0.0016;0.0456;0.002;0.0099;0.0176;0.0124;0.0009;0.1316;0.0236;0.1292;0.9812;0.0057;0.0002;0.0047;0.0347;0.8893;0.0024;0.2979;0.0002;0.0015;0.0016;0.0456;0.002;0.0099;0.0176;0.0124;0.1296
WZ_20130731031312148090058;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.4743;0.0009;0.0042;0.0098;0.0633;0.001;0.0026;0.0034;0.2139;0.0884;0.0092;0.0003;0.0001;0.0002;0.4495;0.0001;0.004;0.0587;0.178;0.0221;0.5257;0.0009;0.0042;0.0098;0.0633;0.001;0.0026;0.0034;0.2139;0.0884;0.0092;0.0003;0.0001;0.0002;0.4495;0.0001;0.004;0.0587;0.178;0.9779;0.1296
KURIER_201706101920400064;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.9998;0.1184;0.0099;0.0156;0.0036;0.0074;0.0008;0.2071;0.0008;0.1776;0.0005;0.7109;0.0001;0.0005;0.0028;0.0013;0.5231;0.0164;0.0079;0.0005;0.0002;0.1184;0.0099;0.9844;0.0036;0.9926;0.0008;0.2071;0.9992;0.1776;0.0005;0.7109;0.0001;0.0005;0.0028;0.0013;0.5231;0.0164;0.0079;0.0005;0.2379
KURIER_201708021920320126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9994;0.0043;0.0068;0.1117;0.0002;0.0039;0.0001;0.0004;0.038;0.6363;0.0004;0.1344;0.0001;0.0001;0.0641;0.0023;0.0326;0.007;0.0402;0.0011;0.9994;0.0043;0.0068;0.1117;0.0002;0.0039;0.0001;0.0004;0.038;0.6363;0.0004;0.1344;0.0001;0.0001;0.0641;0.0023;0.0326;0.007;0.0402;0.0011;0.1042
WZ_20111223031310295860064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13;0.0003;0.0005;0.0;0.036;0.0;0.0;0.0077;0.0005;0.0764;0.0001;0.0005;0.0;0.0004;0.0055;0.0007;0.0058;0.0008;0.04;0.0014;0.13;0.0003;0.0005;0.0;0.036;0.0;0.0;0.0077;0.0005;0.0764;0.0001;0.0005;0.0;0.0004;0.0055;0.0007;0.0058;0.0008;0.04;0.0014;0.0153
WZ_20180116031310640080065;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9942;0.0406;0.0296;0.7255;0.8976;0.0476;0.2561;0.1103;0.193;0.544;0.9329;0.0192;0.0206;0.0002;0.123;0.0003;0.0023;0.0749;0.1053;0.0625;0.0058;0.0406;0.0296;0.2745;0.8976;0.0476;0.2561;0.1103;0.193;0.544;0.9329;0.0192;0.0206;0.0002;0.123;0.0003;0.0023;0.0749;0.1053;0.0625;0.187
HOR_20171027BD8378B6BF;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0.9085;0.0003;0.0001;0.0055;0.0001;0.0;0.0;0.0013;0.0001;0.3888;0.0002;0.0023;0.0;0.0;0.0;0.001;0.027;0.0066;0.0002;0.0001;0.0915;0.0003;0.0001;0.0055;0.0001;0.0;0.0;0.9987;0.0001;0.6112;0.0002;0.0023;0.0;0.0;0.0;0.001;0.027;0.0066;0.0002;0.0001;0.0872
MWVOLL_20180621_9948695;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0.9973;0.0032;0.0;0.0136;0.0032;0.0001;0.0004;0.0424;0.0002;0.0413;0.0013;0.0011;0.0;0.0001;0.0002;0.0;0.4865;0.001;0.0989;0.0014;0.0027;0.9968;0.0;0.9864;0.9968;0.0001;0.0004;0.0424;0.9998;0.9587;0.0013;0.0011;0.0;0.0001;0.0002;0.0;0.4865;0.001;0.0989;0.0014;0.2787
KURIER_201605090401000029;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0302;0.0115;0.0;0.0193;0.0021;0.0;0.0;0.003;0.0007;0.011;0.0;0.0019;0.0;0.0047;0.0002;0.0048;0.2507;0.0011;0.012;0.0031;0.9698;0.9885;0.0;0.0193;0.0021;0.0;0.0;0.003;0.0007;0.011;0.0;0.0019;1.0;0.0047;0.0002;0.0048;0.2507;0.0011;0.012;0.0031;0.1636
STANDARD_20171102194502538810063;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0.3648;0.0169;0.0009;0.0001;0.0012;0.0;0.0;0.0018;0.0002;0.2641;0.0001;0.0108;0.0003;0.0007;0.0005;0.0046;0.0103;0.0002;0.0041;0.0001;0.6352;0.0169;0.0009;0.9999;0.0012;0.0;0.0;0.0018;0.0002;0.2641;0.9999;0.0108;0.0003;0.9993;0.0005;0.0046;0.0103;0.0002;0.0041;0.0001;0.1975
TT_201803290E1143FE33;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.9991;0.9406;0.0003;0.9709;0.5676;0.9313;0.1033;0.9488;0.0011;0.0038;0.8321;0.9382;0.0317;0.0035;0.0012;0.0;0.022;0.0046;0.0007;0.0037;0.0009;0.0594;0.0003;0.0291;0.5676;0.9313;0.1033;0.9488;0.0011;0.0038;0.1679;0.0618;0.0317;0.0035;0.0012;0.0;0.022;0.0046;0.0007;0.0037;0.1471
KRONE_20180113665350016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8751;0.0281;0.0055;0.4825;0.0007;0.0011;0.0016;0.007;0.0032;0.0104;0.0205;0.0111;0.0001;0.0002;0.0039;0.0003;0.0385;0.0165;0.0059;0.008;0.8751;0.0281;0.0055;0.4825;0.0007;0.0011;0.0016;0.007;0.0032;0.0104;0.0205;0.0111;0.0001;0.0002;0.0039;0.0003;0.0385;0.0165;0.0059;0.008;0.076
SN_20140811003124166830012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9991;0.0059;0.0013;0.0031;0.0365;0.0006;0.0056;0.0999;0.0042;0.0628;0.0048;0.0069;0.0006;0.001;0.5563;0.0006;0.9623;0.269;0.9776;0.0023;0.9991;0.0059;0.0013;0.0031;0.0365;0.0006;0.0056;0.0999;0.0042;0.0628;0.0048;0.0069;0.0006;0.001;0.5563;0.0006;0.9623;0.269;0.9776;0.0023;0.2
PRESSE_201610011915210114;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9992;0.1551;0.2391;0.0047;0.0017;0.0006;0.0001;0.0077;0.0016;0.9964;0.0002;0.2345;0.0046;0.0121;0.0055;0.1137;0.001;0.0016;0.0017;0.0038;0.0008;0.1551;0.2391;0.9953;0.0017;0.0006;0.0001;0.0077;0.0016;0.9964;0.0002;0.2345;0.0046;0.0121;0.0055;0.1137;0.001;0.0016;0.0017;0.0038;0.1389
WZ_20140214031311088700075;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.9992;0.5647;0.1909;0.0812;0.1022;0.0013;0.0401;0.1004;0.2767;0.6163;0.715;0.5992;0.0006;0.0058;0.1052;0.0013;0.3872;0.0196;0.4112;0.0447;0.0008;0.4353;0.1909;0.9188;0.1022;0.0013;0.0401;0.1004;0.7233;0.6163;0.715;0.5992;0.0006;0.0058;0.1052;0.0013;0.3872;0.0196;0.4112;0.0447;0.271
KURIER_201701051920400069;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0.9998;0.1907;0.0254;0.4454;0.4778;0.0015;0.007;0.0014;0.0166;0.1744;0.0199;0.1909;0.0001;0.0023;0.0066;0.0003;0.1163;0.0078;0.1932;0.5272;0.0002;0.1907;0.0254;0.5546;0.4778;0.9985;0.007;0.0014;0.0166;0.8256;0.9801;0.1909;0.0001;0.0023;0.0066;0.0003;0.1163;0.0078;0.1932;0.4728;0.2534
MWVOLL_20151221_6271834;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227;0.0008;0.0;0.0;0.0002;0.0;0.0;0.0085;0.0;0.0026;0.0;0.0001;0.0;0.0193;0.0;0.0004;0.1832;0.0001;0.001;0.0016;0.9773;0.9992;0.0;1.0;0.9998;0.0;0.0;0.0085;0.0;0.0026;0.0;0.0001;0.0;0.0193;0.0;0.0004;0.1832;0.0001;0.001;0.0016;0.2097
OOEN_20180502014504039450045;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9991;0.0114;0.0712;0.0002;0.0228;0.0001;0.0005;0.1479;0.0315;0.9181;0.0044;0.0545;0.0135;0.0009;0.0138;0.1191;0.0912;0.0067;0.949;0.0044;0.0009;0.0114;0.0712;0.0002;0.0228;0.0001;0.0005;0.1479;0.0315;0.9181;0.0044;0.0545;0.0135;0.0009;0.0138;0.1191;0.0912;0.0067;0.949;0.9956;0.1727
STANDARD_20180217194503792870144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9811;0.0005;0.0012;0.0001;0.006;0.0;0.0;0.0113;0.0124;0.9609;0.0003;0.0016;0.0048;0.0001;0.0122;0.0077;0.0039;0.0065;0.2299;0.0001;0.9811;0.0005;0.0012;0.0001;0.006;0.0;0.0;0.0113;0.0124;0.9609;0.0003;0.0016;0.0048;0.0001;0.0122;0.0077;0.0039;0.0065;0.2299;0.0001;0.112
PROFIL_20160418C3E30FAB52;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.8211;0.0173;0.0012;0.0107;0.0227;0.0006;0.003;0.231;0.0292;0.618;0.0124;0.05;0.0;0.0006;0.0022;0.0592;0.157;0.0201;0.744;0.0222;0.1789;0.9827;0.0012;0.9893;0.0227;0.0006;0.003;0.231;0.0292;0.618;0.0124;0.05;0.0;0.0006;0.0022;0.0592;0.157;0.0201;0.744;0.9778;0.254
MEDIANET_20160902B0C588AC2A;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9992;0.0639;0.0454;0.0102;0.0047;0.0048;0.0003;0.0067;0.0876;0.9928;0.0044;0.3928;0.0002;0.0011;0.0026;0.0472;0.0071;0.0146;0.0019;0.0029;0.0008;0.9361;0.0454;0.0102;0.0047;0.0048;0.0003;0.0067;0.0876;0.9928;0.0044;0.3928;0.0002;0.0011;0.0026;0.0472;0.0071;0.0146;0.0019;0.0029;0.1282
OOEN_20161124040003143720095;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9996;0.1724;0.0364;0.0079;0.0644;0.0016;0.0012;0.2862;0.0143;0.9673;0.2516;0.6935;0.0128;0.0012;0.0086;0.0061;0.0012;0.0053;0.1342;0.0006;0.0004;0.1724;0.0364;0.9921;0.0644;0.0016;0.0012;0.2862;0.0143;0.9673;0.2516;0.6935;0.0128;0.0012;0.0086;0.0061;0.0012;0.0053;0.1342;0.0006;0.1826
PROFIL_201504271515360021;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0.9997;0.0125;0.0979;0.0007;0.0382;0.0;0.0008;0.0001;0.0;0.1427;0.0708;0.0038;0.0;0.0;0.0003;0.0012;0.0003;0.1314;0.0035;0.0257;0.0003;0.0125;0.0979;0.9993;0.0382;1.0;0.0008;0.0001;0.0;0.1427;0.9292;0.0038;0.0;0.0;0.0003;0.9988;0.9997;0.1314;0.0035;0.9743;0.3166
KURIER_201709161920370055;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0.966;0.0133;0.0019;0.1915;0.0493;0.0018;0.0003;0.0081;0.0043;0.9264;0.0056;0.0242;0.0;0.0002;0.0;0.1244;0.0069;0.0007;0.0;0.0073;0.034;0.0133;0.0019;0.8085;0.0493;0.0018;0.0003;0.0081;0.9957;0.9264;0.9944;0.0242;0.0;0.0002;0.0;0.1244;0.0069;0.0007;0.0;0.0073;0.1999
WZ_20121113031323233630015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0353;0.4301;0.1184;0.2569;0.015;0.0117;0.0069;0.4773;0.2046;0.0114;0.9376;0.0312;0.0013;0.1612;0.0072;0.0319;0.2926;0.3403;0.1611;1.0;0.0353;0.4301;0.1184;0.2569;0.015;0.0117;0.0069;0.4773;0.2046;0.0114;0.9376;0.0312;0.0013;0.1612;0.0072;0.0319;0.2926;0.3403;0.1611;0.2266
VN_20170619231851153070030;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.6868;0.0016;0.002;0.1559;0.0024;0.0002;0.0;0.0006;0.0006;0.0365;0.0005;0.0137;0.0;0.0003;0.0;0.0043;0.004;0.0009;0.0;0.0055;0.3132;0.0016;0.002;0.8441;0.0024;0.0002;0.0;0.0006;0.0006;0.0365;0.9995;0.0137;0.0;0.0003;0.0;0.0043;0.004;0.0009;0.0;0.0055;0.1115
FALTER_201210171627490040;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0987;0.0001;0.0001;0.0001;0.002;0.0;0.0;0.0029;0.0008;0.0515;0.0074;0.0333;0.0001;0.0001;0.0004;0.0002;0.0007;0.0;0.0459;0.0001;0.9013;0.0001;0.0001;0.9999;0.002;1.0;0.0;0.0029;0.0008;0.0515;0.0074;0.9667;0.0001;0.0001;0.0004;0.0002;0.0007;0.0;0.0459;0.0001;0.199
AUGUSTIN_20180523BD35D9AADB;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0.826;0.0084;0.0035;0.0005;0.0002;0.0017;0.0003;0.0006;0.0019;0.49;0.0008;0.0008;0.0;0.0015;0.0059;0.0016;0.0039;0.0039;0.0636;0.0027;0.174;0.0084;0.0035;0.0005;0.0002;0.9983;0.0003;0.0006;0.9981;0.51;0.9992;0.0008;0.0;0.0015;0.0059;0.0016;0.0039;0.0039;0.0636;0.0027;0.1888
HOR_201111111511230025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9689;0.0102;0.0055;0.0061;0.0052;0.0013;0.0015;0.4481;0.015;0.0244;0.0113;0.0137;0.0009;0.0018;0.005;0.0015;0.0176;0.4061;0.0413;0.0065;0.9689;0.0102;0.0055;0.0061;0.0052;0.0013;0.0015;0.4481;0.015;0.0244;0.0113;0.0137;0.0009;0.0018;0.005;0.0015;0.0176;0.4061;0.0413;0.0065;0.0996
TVMEDIA_20161130A193B0E0D0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9996;0.0319;0.0001;0.9626;0.5747;0.0058;0.0004;0.0729;0.0495;0.0353;0.3247;0.0794;0.0001;0.0;0.0001;0.0;0.0023;0.0249;0.0076;0.0065;0.0004;0.0319;0.0001;0.0374;0.5747;0.0058;0.0004;0.0729;0.0495;0.9647;0.3247;0.0794;0.0001;0.0;0.0001;0.0;0.0023;0.0249;0.0076;0.0065;0.1092
KURIER_201612291920400008;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9591;0.0013;0.002;0.1932;0.0024;0.0006;0.0;0.0003;0.0052;0.0011;0.0041;0.8183;0.0;0.0;0.0;0.0007;0.0065;0.0001;0.0005;0.0072;0.0409;0.0013;0.002;0.8068;0.0024;0.0006;0.0;0.0003;0.0052;0.0011;0.0041;0.8183;0.0;0.0;0.0;0.0007;0.0065;0.0001;0.0005;0.0072;0.0849
KURIER_201701250401240048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9999;0.248;0.0323;0.4577;0.4795;0.0014;0.0078;0.0013;0.0178;0.2265;0.023;0.2819;0.0001;0.0027;0.007;0.0004;0.1526;0.0085;0.1992;0.514;0.9999;0.248;0.0323;0.4577;0.4795;0.0014;0.0078;0.0013;0.0178;0.2265;0.023;0.2819;0.0001;0.0027;0.007;0.0004;0.1526;0.0085;0.1992;0.514;0.1831
TREND_201410271119240033;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0.9999;0.0279;0.0026;0.0001;0.282;0.0;0.0001;0.0174;0.0001;0.4537;0.0028;0.8153;0.0003;0.0005;0.0001;0.0027;0.1071;0.0031;0.7292;0.0004;0.0001;0.9721;0.0026;0.9999;0.718;1.0;0.9999;0.0174;0.0001;0.4537;0.9972;0.1847;0.0003;0.0005;0.0001;0.0027;0.1071;0.0031;0.7292;0.0004;0.3595
KURIER_201705131920390057;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.9982;0.0078;0.1545;0.0001;0.1223;0.0;0.0005;0.3241;0.0083;0.9695;0.0058;0.1272;0.0713;0.0001;0.0147;0.0195;0.0125;0.0047;0.9756;0.001;0.0018;0.0078;0.1545;0.0001;0.1223;0.0;0.0005;0.3241;0.9917;0.9695;0.0058;0.1272;0.0713;0.0001;0.0147;0.0195;0.0125;0.0047;0.9756;0.001;0.1902
KONSUM_201811226DB535AF40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.088;0.0722;0.024;0.0018;0.0047;0.0003;0.0002;0.0002;0.004;0.0061;0.0002;0.0435;0.0074;0.0111;0.0111;0.0006;0.0117;0.002;0.0053;0.0078;0.088;0.0722;0.024;0.0018;0.0047;0.0003;0.0002;0.0002;0.004;0.0061;0.0002;0.0435;0.0074;0.0111;0.0111;0.0006;0.0117;0.002;0.0053;0.0078;0.0151
KURIER_201606220402160236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0207;0.0015;0.0;0.0112;0.0014;0.0;0.0;0.0042;0.0003;0.0022;0.0;0.001;0.0;0.001;0.0002;0.0013;0.2876;0.0002;0.0165;0.0016;0.0207;0.0015;0.0;0.0112;0.0014;0.0;0.0;0.0042;0.0003;0.0022;0.0;0.001;0.0;0.001;0.0002;0.0013;0.2876;0.0002;0.0165;0.0016;0.0175
FORMATDB_201404251509320066;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.0248;0.0005;0.0009;0.0001;0.0003;0.0009;0.0004;0.0092;0.0011;0.0362;0.0138;0.0007;0.0022;0.0011;0.0553;0.0;0.0019;0.0074;0.0352;0.0003;0.9752;0.0005;0.0009;0.0001;0.0003;0.0009;0.0004;0.0092;0.0011;0.0362;0.0138;0.0007;0.0022;0.0011;0.0553;0.0;0.0019;0.0074;0.0352;0.9997;0.1071
KURIER_201803131920520035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9986;0.0011;0.0091;0.1611;0.0181;0.0008;0.0016;0.0019;0.0895;0.3131;0.078;0.633;0.0;0.0;0.0004;0.0056;0.0226;0.0075;0.0626;0.0772;0.9986;0.0011;0.0091;0.1611;0.0181;0.0008;0.0016;0.0019;0.0895;0.3131;0.078;0.633;0.0;0.0;0.0004;0.0056;0.0226;0.0075;0.0626;0.0772;0.1241
EMEDIA_2018121434088C1B16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8438;0.0901;0.0013;0.0;0.0098;0.0;0.0;0.0485;0.0;0.0415;0.0;0.0032;0.0001;0.0037;0.0;0.129;0.0419;0.0024;0.0877;0.0069;0.8438;0.0901;0.0013;0.0;0.0098;0.0;0.0;0.0485;0.0;0.0415;0.0;0.0032;0.0001;0.0037;0.0;0.129;0.0419;0.0024;0.0877;0.0069;0.0655
WZ_20150522031314256230013;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0.9998;0.0015;0.0001;0.7639;0.9738;0.8235;0.0082;0.0246;0.9979;0.0102;0.0784;0.0072;0.0012;0.0015;0.0078;0.0004;0.0022;0.0558;0.0013;0.7519;0.0002;0.0015;0.0001;0.2361;0.9738;0.1765;0.0082;0.0246;0.9979;0.0102;0.9216;0.0072;0.0012;0.0015;0.0078;0.0004;0.0022;0.0558;0.0013;0.2481;0.1838
KLEINE_20151231041001048910051;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9277;0.1705;0.3865;0.0034;0.0344;0.0012;0.0007;0.2506;0.0205;0.1183;0.0019;0.565;0.0694;0.0108;0.0334;0.0109;0.0036;0.0086;0.0735;0.0064;0.0723;0.8295;0.3865;0.9966;0.0344;0.0012;0.0007;0.2506;0.0205;0.1183;0.0019;0.565;0.0694;0.0108;0.0334;0.0109;0.0036;0.0086;0.0735;0.0064;0.1747
