Article ID;GOLD: R: Risikotypen;GOLD: R: RT: Datenschutz, Privatsphäre, Überwachung;GOLD: R: RT: Haftung/Verantwortung;GOLD: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;GOLD: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;GOLD: R: RT: Intransparenz (Blackbox);GOLD: R: RT: Kommodifizierung der Nutzer (Ausbeutung);GOLD: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;GOLD: R: RT: Diskriminierung, Ungleichheit;GOLD: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;GOLD: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;GOLD: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;GOLD: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;GOLD: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);GOLD: R: RT: Wirtschaftlichkeit und Effizienz;GOLD: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;GOLD: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;GOLD: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;PRED: R: Risikotypen;PRED: R: RT: Datenschutz, Privatsphäre, Überwachung;PRED: R: RT: Haftung/Verantwortung;PRED: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;PRED: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;PRED: R: RT: Intransparenz (Blackbox);PRED: R: RT: Kommodifizierung der Nutzer (Ausbeutung);PRED: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;PRED: R: RT: Diskriminierung, Ungleichheit;PRED: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;PRED: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;PRED: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;PRED: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;PRED: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);PRED: R: RT: Wirtschaftlichkeit und Effizienz;PRED: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;PRED: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;PRED: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;AVG DIFF: R: Risikotypen;AVG DIFF: R: RT: Datenschutz, Privatsphäre, Überwachung;AVG DIFF: R: RT: Haftung/Verantwortung;AVG DIFF: R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;AVG DIFF: R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;AVG DIFF: R: RT: Intransparenz (Blackbox);AVG DIFF: R: RT: Kommodifizierung der Nutzer (Ausbeutung);AVG DIFF: R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;AVG DIFF: R: RT: Diskriminierung, Ungleichheit;AVG DIFF: R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;AVG DIFF: R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;AVG DIFF: R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;AVG DIFF: R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;AVG DIFF: R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);AVG DIFF: R: RT: Wirtschaftlichkeit und Effizienz;AVG DIFF: R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;AVG DIFF: R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;AVG DIFF: R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;Average difference per article
TT_201605016250DBF067;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9639;0.0001;0.0005;0.0;0.0141;0.0;0.0;0.0211;0.0005;0.7689;0.0;0.0011;0.0135;0.0;0.0012;0.0027;0.0005;0.9259;0.0361;0.0001;0.0005;0.0;0.9859;0.0;0.0;0.0211;0.0005;0.7689;0.0;0.0011;0.0135;0.0;0.0012;0.0027;0.0005;0.0741;0.1059
STANDARD_20150909194002257560093;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0.9985;0.0054;0.0;0.0006;0.0011;0.0;0.0;0.0233;0.0;0.8627;0.0414;0.7583;0.0;0.0;0.0002;0.0815;0.0;0.628;0.0015;0.0054;0.0;0.0006;0.0011;0.0;0.0;0.9767;0.0;0.1373;0.0414;0.2417;1.0;0.0;0.0002;0.0815;0.0;0.628;0.1731
STANDARD_20130522194002017620108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9995;0.0303;0.0014;0.0005;0.0012;0.0;0.0;0.0053;0.0007;0.9963;0.0012;0.0092;0.0016;0.0013;0.0068;0.43;0.0001;0.5087;0.9995;0.0303;0.0014;0.0005;0.0012;0.0;0.0;0.0053;0.0007;0.9963;0.0012;0.0092;0.0016;0.0013;0.0068;0.43;0.0001;0.5087;0.1663
STANDARD_201008111925100054;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.9989;0.0002;0.0;0.0002;0.0072;0.0;0.0;0.0031;0.0001;0.9923;0.0025;0.0094;0.0001;0.0;0.0001;0.0006;0.0;0.025;0.0011;0.0002;0.0;0.0002;0.0072;0.0;0.0;0.0031;0.0001;0.0077;0.0025;0.0094;0.0001;0.0;0.0001;0.0006;0.0;0.025;0.0032
SN_201003132325000157;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0.5964;0.0003;0.0022;0.0;0.0073;0.0;0.0;0.0052;0.0003;0.3656;0.0005;0.0036;0.0018;0.0001;0.0007;0.0005;0.0123;0.4649;0.4036;0.0003;0.9978;0.0;0.9927;0.0;0.0;0.0052;0.0003;0.3656;0.0005;0.0036;0.9982;0.0001;0.0007;0.0005;0.0123;0.4649;0.2359
PRESSE_201410281915260106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5734;0.0001;0.004;0.0;0.0027;0.0001;0.0;0.0014;0.0001;0.0272;0.0;0.0015;0.0106;0.0001;0.0;0.0002;0.0067;0.0007;0.5734;0.0001;0.004;0.0;0.0027;0.0001;0.0;0.0014;0.0001;0.0272;0.0;0.0015;0.0106;0.0001;0.0;0.0002;0.0067;0.0007;0.0349
PRESSE_201704291915140121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9116;0.0053;0.0148;0.0001;0.0128;0.0001;0.0012;0.013;0.0019;0.7266;0.0114;0.1498;0.0186;0.0006;0.0007;0.0548;0.0239;0.8626;0.9116;0.0053;0.0148;0.0001;0.0128;0.0001;0.0012;0.013;0.0019;0.7266;0.0114;0.1498;0.0186;0.0006;0.0007;0.0548;0.0239;0.8626;0.1561
PRESSE_1999020603430016;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.8205;0.0049;0.0003;0.0001;0.0005;0.0;0.0;0.006;0.0001;0.5169;0.0001;0.0553;0.0002;0.0002;0.0053;0.0058;0.0005;0.0089;0.1795;0.0049;0.0003;0.0001;0.0005;0.0;0.0;0.006;0.0001;0.4831;0.0001;0.0553;0.0002;0.0002;0.0053;0.0058;0.0005;0.0089;0.0417
STANDARD_19911221050632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9679;0.0488;0.0044;0.0003;0.0316;0.0003;0.001;0.0142;0.0006;0.7128;0.0174;0.0627;0.022;0.0021;0.0001;0.0316;0.0019;0.4484;0.9679;0.0488;0.0044;0.0003;0.0316;0.0003;0.001;0.0142;0.0006;0.7128;0.0174;0.0627;0.022;0.0021;0.0001;0.0316;0.0019;0.4484;0.1316
SN_20150710013128181990083;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0.9985;0.0481;0.6555;0.0022;0.0127;0.0017;0.0046;0.0604;0.0252;0.9417;0.001;0.4049;0.0614;0.0114;0.2579;0.008;0.3978;0.2672;0.0015;0.9519;0.6555;0.0022;0.9873;0.0017;0.9954;0.0604;0.0252;0.9417;0.001;0.5951;0.0614;0.0114;0.2579;0.008;0.3978;0.2672;0.3457
TTKOMP_20160719020245298030064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9453;0.007;0.0041;0.0;0.0049;0.0;0.0;0.002;0.0001;0.9072;0.0;0.0001;0.0112;0.0016;0.0039;0.0007;0.0001;0.309;0.9453;0.007;0.0041;0.0;0.0049;0.0;0.0;0.002;0.0001;0.9072;0.0;0.0001;0.0112;0.0016;0.0039;0.0007;0.0001;0.309;0.1221
KURIER_201212131716140054;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.9275;0.0001;0.0;0.0;0.131;0.0;0.0;0.0143;0.0;0.0026;0.0002;0.0121;0.0283;0.0;0.0;0.0;0.002;0.0113;0.0725;0.0001;0.0;0.0;0.131;0.0;0.0;0.0143;0.0;0.0026;0.0002;0.0121;0.9717;0.0;0.0;0.0;0.002;0.0113;0.0677
PRESSE_201306111915210063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9999;0.0666;0.0221;0.0;0.0076;0.1716;0.0003;0.8009;0.0;0.0028;0.0002;0.9966;0.9862;0.0114;0.0;0.0003;0.0049;0.0017;0.9999;0.0666;0.0221;0.0;0.0076;0.1716;0.0003;0.8009;0.0;0.0028;0.0002;0.9966;0.9862;0.0114;0.0;0.0003;0.0049;0.0017;0.2263
TT_20170825F693694D0D;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.9965;0.0016;0.0015;0.0001;0.0038;0.0001;0.0002;0.102;0.0248;0.9552;0.0004;0.0033;0.0053;0.003;0.016;0.0767;0.0348;0.8027;0.0035;0.0016;0.0015;0.0001;0.0038;0.0001;0.0002;0.898;0.0248;0.9552;0.0004;0.0033;0.0053;0.003;0.016;0.0767;0.0348;0.1973;0.1236
MWVOLL_20170112_7821144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.514;0.0032;0.0;0.0001;0.0037;0.0;0.0006;0.0243;0.0;0.0161;0.0036;0.0008;0.0005;0.0005;0.0081;0.6104;0.0003;0.0406;0.514;0.0032;0.0;0.0001;0.0037;0.0;0.0006;0.0243;0.0;0.0161;0.0036;0.0008;0.0005;0.0005;0.0081;0.6104;0.0003;0.0406;0.0682
WIENERIN_20161124C7FD632CA1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0.9997;0.006;0.0507;0.0004;0.0025;0.0003;0.0;0.0267;0.002;0.9873;0.0008;0.8563;0.0024;0.0003;0.0811;0.0006;0.0022;0.0059;0.0003;0.006;0.0507;0.0004;0.9975;0.0003;0.0;0.9733;0.002;0.0127;0.0008;0.8563;0.0024;0.0003;0.0811;0.0006;0.0022;0.0059;0.1663
KURIER_201706210401190224;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.3338;0.0002;0.0014;0.0001;0.0031;0.0;0.0;0.0097;0.0012;0.0344;0.0008;0.0008;0.0022;0.0;0.0001;0.0;0.021;0.0252;0.6662;0.0002;0.0014;0.0001;0.0031;0.0;0.0;0.0097;0.0012;0.0344;0.0008;0.9992;0.0022;0.0;0.0001;0.0;0.021;0.0252;0.098
STANDARD_20181027194502239080115;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9996;0.0;0.0;0.0;0.1391;0.0004;0.0;0.6397;0.0009;0.0891;0.0006;0.4453;0.9411;0.0;0.0;0.0;0.0001;0.2522;0.0004;0.0;0.0;0.0;0.1391;0.0004;0.0;0.3603;0.0009;0.0891;0.0006;0.4453;0.9411;0.0;0.0;0.0;0.0001;0.2522;0.1239
KRONE_20171014219271554;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0.8164;0.0025;0.0022;0.0015;0.1459;0.0003;0.0035;0.0376;0.0001;0.0157;0.0075;0.0126;0.0017;0.0006;0.0;0.0498;0.0344;0.7145;0.1836;0.0025;0.0022;0.0015;0.1459;0.0003;0.0035;0.0376;0.0001;0.0157;0.0075;0.0126;0.0017;0.0006;0.0;0.9502;0.0344;0.2855;0.0936
VN_20160718233308157760116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8233;0.0005;0.0013;0.0002;0.0046;0.0005;0.0003;0.0048;0.0001;0.0083;0.0;0.0154;0.011;0.0009;0.0015;0.1475;0.0009;0.1515;0.8233;0.0005;0.0013;0.0002;0.0046;0.0005;0.0003;0.0048;0.0001;0.0083;0.0;0.0154;0.011;0.0009;0.0015;0.1475;0.0009;0.1515;0.0651
STANDARD_20160504194003235260116;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.0;0.0141;0.0018;0.0;0.0786;0.0002;0.0033;0.3176;0.0005;0.9085;0.0267;0.7156;0.0002;0.0028;0.0026;0.0328;0.8803;0.4305;0.0;0.0141;0.0018;0.0;0.0786;0.0002;0.0033;0.6824;0.0005;0.9085;0.0267;0.7156;0.0002;0.0028;0.0026;0.0328;0.8803;0.4305;0.2101
NVT_200108010500550020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9807;0.0023;0.0042;0.0001;0.0342;0.0;0.0;0.0097;0.0;0.2421;0.0;0.0003;0.6947;0.0003;0.0;0.0;0.0149;0.1235;0.9807;0.0023;0.0042;0.0001;0.0342;0.0;0.0;0.0097;0.0;0.2421;0.0;0.0003;0.6947;0.0003;0.0;0.0;0.0149;0.1235;0.1171
KURIER_201705121920390061;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2788;0.028;0.0109;0.0003;0.0015;0.0;0.0;0.0025;0.0002;0.446;0.0004;0.0022;0.0004;0.0011;0.0122;0.0026;0.0078;0.0037;0.7212;0.972;0.0109;0.9997;0.0015;0.0;0.0;0.0025;0.0002;0.446;0.0004;0.0022;0.0004;0.0011;0.0122;0.0026;0.0078;0.0037;0.1769
KRONE_20170507107200378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9999;0.1493;0.0016;0.0846;0.0164;0.0044;0.0014;0.1631;0.2047;0.9408;0.0125;0.6928;0.0014;0.0017;0.0119;0.1871;0.0204;0.7137;0.9999;0.1493;0.0016;0.0846;0.0164;0.0044;0.0014;0.1631;0.2047;0.9408;0.0125;0.6928;0.0014;0.0017;0.0119;0.1871;0.0204;0.7137;0.2338
MWVOLL_20170914_8820361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.816;0.0003;0.0001;0.0;0.0006;0.0;0.0;0.027;0.0;0.0447;0.0002;0.0001;0.0008;0.0;0.0006;0.1369;0.0011;0.4731;0.816;0.0003;0.0001;0.0;0.0006;0.0;0.0;0.027;0.0;0.0447;0.0002;0.0001;0.0008;0.0;0.0006;0.1369;0.0011;0.4731;0.0834
KLEINE_20170827041003215460321;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0.9984;0.0166;0.4225;0.0003;0.0334;0.0003;0.0005;0.4567;0.0374;0.9539;0.0005;0.1578;0.268;0.003;0.1337;0.013;0.0038;0.9765;0.0016;0.0166;0.4225;0.0003;0.0334;0.0003;0.0005;0.5433;0.0374;0.9539;0.0005;0.8422;0.268;0.003;0.1337;0.013;0.0038;0.9765;0.2361
PRESSE_201603250400150004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.005;0.0001;0.0043;0.0786;0.0045;0.0;0.9041;0.9823;0.9635;0.0008;0.2828;0.0084;0.0045;0.0065;0.0021;0.0342;0.1017;1.0;0.005;0.0001;0.0043;0.0786;0.0045;0.0;0.9041;0.9823;0.9635;0.0008;0.2828;0.0084;0.0045;0.0065;0.0021;0.0342;0.1017;0.2435
SN_200005202042540315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4915;0.0141;0.0042;0.0002;0.0116;0.0;0.0;0.0019;0.0008;0.4821;0.0001;0.0044;0.0016;0.002;0.0033;0.0123;0.0004;0.0821;0.4915;0.0141;0.0042;0.0002;0.0116;0.0;0.0;0.0019;0.0008;0.4821;0.0001;0.0044;0.0016;0.002;0.0033;0.0123;0.0004;0.0821;0.0618
PRESSE_201607301915130110;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.9965;0.0012;0.0005;0.0;0.0001;0.0;0.0;0.0229;0.0004;0.9962;0.0001;0.0052;0.002;0.0001;0.0958;0.0069;0.0004;0.6942;0.0035;0.0012;0.0005;0.0;0.0001;0.0;0.0;0.0229;0.0004;0.0038;0.0001;0.0052;0.002;0.0001;0.0958;0.0069;0.0004;0.6942;0.0465
KLEINE_20161028041003014480122;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.9799;0.0002;0.001;0.0003;0.0476;0.0;0.0002;0.0044;0.0007;0.0638;0.0002;0.0008;0.0029;0.0001;0.0002;0.1677;0.0046;0.9202;0.0201;0.0002;0.001;0.0003;0.0476;0.0;0.0002;0.0044;0.0007;0.0638;0.0002;0.9992;0.0029;0.0001;0.0002;0.1677;0.0046;0.9202;0.1241
STANDARD_200611181922050155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8861;0.0001;0.0001;0.0;0.001;0.0;0.0;0.0158;0.0001;0.1755;0.0001;0.0003;0.0009;0.0;0.0001;0.0001;0.0004;0.0174;0.8861;0.0001;0.0001;0.0;0.001;0.0;0.0;0.0158;0.0001;0.1755;0.0001;0.0003;0.0009;0.0;0.0001;0.0001;0.0004;0.0174;0.061
MEDIANET_201404259B6F8F2B7E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026;0.0262;0.0272;0.0005;0.0001;0.0001;0.0;0.0008;0.0008;0.04;0.0005;0.0125;0.0076;0.006;0.0924;0.0012;0.0002;0.0014;0.026;0.0262;0.0272;0.0005;0.0001;0.0001;0.0;0.0008;0.0008;0.04;0.0005;0.0125;0.0076;0.006;0.0924;0.0012;0.0002;0.0014;0.0135
EMEDIA_20181130F6382BD619;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0.972;0.0005;0.0001;0.0001;0.0104;0.0;0.0;0.0051;0.0001;0.6156;0.0;0.0004;0.0111;0.0002;0.0004;0.0035;0.0001;0.9545;0.028;0.0005;0.0001;0.0001;0.0104;0.0;0.0;0.9949;0.0001;0.6156;0.0;0.9996;0.0111;0.0002;0.0004;0.0035;0.0001;0.9545;0.2011
FALTER_201703224B7E7AC4F1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0.9933;0.0023;0.0021;0.0;0.009;0.0001;0.0001;0.0204;0.0003;0.4939;0.0004;0.1881;0.124;0.0011;0.0003;0.0035;0.0031;0.8676;0.0067;0.0023;0.0021;0.0;0.009;0.0001;0.0001;0.0204;0.0003;0.5061;0.0004;0.1881;0.876;0.0011;0.0003;0.0035;0.0031;0.8676;0.1382
OOEN_20171030040004016540027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0419;0.0001;0.0;0.0;0.0;0.0001;0.0;0.0106;0.0004;0.0005;0.0;0.0055;0.0001;0.0001;0.0033;0.0005;0.0026;0.0255;0.0419;0.0001;0.0;0.0;0.0;0.0001;0.0;0.0106;0.0004;0.0005;0.0;0.0055;0.0001;0.0001;0.0033;0.0005;0.0026;0.0255;0.0051
BVZ_20140701143421024730097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.001;0.0;0.0001;0.0006;0.0;0.0;0.0049;0.0;0.0029;0.0;0.0001;0.0001;0.0049;0.0003;0.0603;0.0;0.0026;0.01;0.001;0.0;0.0001;0.0006;0.0;0.0;0.0049;0.0;0.0029;0.0;0.0001;0.0001;0.0049;0.0003;0.0603;0.0;0.0026;0.0049
KLEINE_20181023041005295000439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9973;0.0101;0.8767;0.0;0.0007;0.0;0.0001;0.0907;0.0071;0.0182;0.0009;0.8783;0.0156;0.0007;0.9005;0.0029;0.0038;0.9962;0.9973;0.0101;0.8767;0.0;0.0007;0.0;0.0001;0.0907;0.0071;0.0182;0.0009;0.8783;0.0156;0.0007;0.9005;0.0029;0.0038;0.9962;0.2667
PRESSE_201801141915130063;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0.9999;0.0085;0.8021;0.0;0.042;0.0;0.0;0.1848;0.0019;0.8644;0.0004;0.9216;0.9223;0.0005;0.0145;0.0001;0.0018;0.9903;0.0001;0.0085;0.8021;0.0;0.958;0.0;0.0;0.8152;0.9981;0.1356;0.0004;0.9216;0.9223;0.0005;0.0145;0.9999;0.0018;0.9903;0.4205
IM_20010701_1601310082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6989;0.0008;0.0;0.0;0.0295;0.0;0.0;0.01;0.0;0.0574;0.0;0.003;0.0045;0.0002;0.0;0.0004;0.001;0.0336;0.6989;0.0008;0.0;0.0;0.0295;0.0;0.0;0.01;0.0;0.0574;0.0;0.003;0.0045;0.0002;0.0;0.0004;0.001;0.0336;0.0466
PROFIL_201405121146010070;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.9868;0.031;0.3781;0.0005;0.0429;0.0008;0.003;0.1334;0.0114;0.8169;0.0041;0.5546;0.042;0.0036;0.0236;0.0436;0.0243;0.8253;0.0132;0.031;0.3781;0.0005;0.0429;0.0008;0.003;0.8666;0.0114;0.1831;0.0041;0.5546;0.042;0.0036;0.0236;0.0436;0.0243;0.8253;0.1695
OOEN_20120522040006076900046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9976;0.0008;0.003;0.0013;0.007;0.0;0.0001;0.0028;0.0008;0.3977;0.0001;0.0268;0.0004;0.0003;0.2072;0.8736;0.0114;0.6923;0.9976;0.0008;0.003;0.0013;0.007;0.0;0.0001;0.0028;0.0008;0.3977;0.0001;0.0268;0.0004;0.0003;0.2072;0.8736;0.0114;0.6923;0.1791
OOEN_20170216040003180050041;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.7655;0.0;0.0002;0.0;0.0012;0.0;0.0;0.0203;0.0;0.0015;0.0;0.0209;0.0028;0.0;0.0002;0.0;0.0018;0.1876;0.2345;0.0;0.0002;0.0;0.0012;0.0;0.0;0.9797;0.0;0.0015;0.0;0.0209;0.0028;0.0;0.0002;0.0;0.0018;0.1876;0.0795
WZ_20171201031310660980028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0911;0.0021;0.0127;0.0;0.0023;0.0;0.0;0.0005;0.0;0.0162;0.0001;0.0002;0.0061;0.0001;0.0001;0.0;0.0018;0.0063;0.0911;0.0021;0.0127;0.0;0.0023;0.0;0.0;0.0005;0.0;0.0162;0.0001;0.0002;0.0061;0.0001;0.0001;0.0;0.0018;0.0063;0.0078
WZ_20151104031308233360064;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.452;0.0005;0.0115;0.0005;0.0029;0.0;0.0005;0.0034;0.0033;0.1751;0.016;0.0063;0.0036;0.0001;0.0004;0.0082;0.0036;0.8381;0.548;0.0005;0.0115;0.0005;0.9971;0.0;0.0005;0.0034;0.0033;0.8249;0.016;0.0063;0.0036;0.0001;0.0004;0.0082;0.0036;0.8381;0.1814
WIBLATT_200305281924120064;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.9995;0.0548;0.0012;0.0012;0.0959;0.0005;0.0001;0.0243;0.0008;0.0148;0.0013;0.8671;0.0161;0.0001;0.0002;0.0021;0.0021;0.9677;0.0005;0.0548;0.0012;0.0012;0.0959;0.0005;0.0001;0.0243;0.0008;0.0148;0.0013;0.8671;0.0161;0.0001;0.0002;0.0021;0.0021;0.0323;0.062
PROFIL_201307221531470023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9817;0.0007;0.0;0.0;0.0074;0.0;0.0;0.0007;0.0;0.937;0.0002;0.0001;0.0;0.0;0.0002;0.0209;0.0;0.0815;0.9817;0.0007;0.0;0.0;0.0074;0.0;0.0;0.0007;0.0;0.937;0.0002;0.0001;0.0;0.0;0.0002;0.0209;0.0;0.0815;0.1128
PRESSE_201809291915120178;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1.0;0.0004;0.0017;0.0015;0.0016;0.0;0.0;0.01;0.0022;0.9973;0.0003;0.2615;0.0592;0.0;0.0024;0.0581;0.0015;0.2794;0.0;0.0004;0.0017;0.0015;0.0016;0.0;0.0;0.99;0.0022;0.9973;0.0003;0.2615;0.0592;0.0;0.0024;0.9419;0.0015;0.2794;0.1967
WZ_20140124031310182590078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.98;0.0025;0.0012;0.0001;0.0013;0.0001;0.0004;0.0146;0.0002;0.1408;0.0073;0.0175;0.0049;0.0006;0.0;0.0315;0.0025;0.6143;0.98;0.0025;0.0012;0.0001;0.0013;0.0001;0.0004;0.0146;0.0002;0.1408;0.0073;0.0175;0.0049;0.0006;0.0;0.0315;0.0025;0.6143;0.1011
STANDARD_20150828194002169290150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9978;0.0109;0.0002;0.0;0.0356;0.0;0.0001;0.0009;0.0;0.8903;0.0;0.0063;0.0078;0.0115;0.0004;0.1231;0.0058;0.1589;0.9978;0.0109;0.0002;0.0;0.0356;0.0;0.0001;0.0009;0.0;0.8903;0.0;0.0063;0.0078;0.0115;0.0004;0.1231;0.0058;0.1589;0.125
WZ_20160722031108098120017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0065;0.058;0.0;0.022;0.0002;0.0137;0.0301;0.0034;0.0389;0.0062;0.0008;0.0011;0.0025;0.0024;0.941;0.9426;0.9919;1.0;0.0065;0.058;0.0;0.022;0.0002;0.0137;0.0301;0.0034;0.0389;0.0062;0.0008;0.0011;0.0025;0.0024;0.941;0.9426;0.9919;0.2256
NVT_20170827543CFC3659;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0.9989;0.0097;0.1394;0.0003;0.0372;0.0002;0.0003;0.5171;0.046;0.9571;0.0009;0.2591;0.3313;0.0009;0.0471;0.0064;0.0042;0.976;0.0011;0.0097;0.1394;0.0003;0.0372;0.0002;0.0003;0.4829;0.954;0.9571;0.0009;0.7409;0.3313;0.0009;0.0471;0.0064;0.0042;0.976;0.2606
KURIER_201212131716140053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9501;0.0018;0.0011;0.001;0.0203;0.0015;0.0;0.3264;0.0009;0.0149;0.0;0.0384;0.0005;0.0001;0.0002;0.0005;0.0;0.0327;0.9501;0.0018;0.0011;0.001;0.0203;0.0015;0.0;0.3264;0.0009;0.0149;0.0;0.0384;0.0005;0.0001;0.0002;0.0005;0.0;0.0327;0.0772
PRESSE_201711111915180109;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.9973;0.0021;0.0043;0.0001;0.0003;0.0;0.0;0.0049;0.0003;0.9915;0.0001;0.0275;0.0114;0.0002;0.0111;0.0035;0.0002;0.7639;0.0027;0.0021;0.0043;0.0001;0.0003;0.0;0.0;0.9951;0.0003;0.9915;0.0001;0.0275;0.0114;0.0002;0.0111;0.0035;0.0002;0.7639;0.1563
